tag,patterns,responses,patterns_str,responses_str,patterns_tokens,responses_tokens,patterns_len,responses_len,Sentiment,Sentiment_Score,Sentiment_Label
help,could you help me?,"yes, sure. how can i help you?",Could you help me? give me a hand please Can you help? What can you do for me? I need support I need help Support me please,"Sure. Tell me how can i assist you Tell me your problem so that i can assist you Yes, sure. How can I help you?","['could', 'you', 'help', 'me']","['yes', 'sure', 'how', 'can', 'i', 'help', 'you']",4,7,0.7717,0.7717,positive
user-advice,i want some advice.,sure. what can i do to help?,I want some advice. I need some advice. I need advice on something,Sure. What can I do to help? Okay what do you need advice on?,"['i', 'want', 'some', 'advice']","['sure', 'what', 'can', 'i', 'do', 'to', 'help']",4,7,0.6124,0.6124,positive
default,boyfriend,i'm listening. tell me more.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['boyfriend'],"['im', 'listening', 'tell', 'me', 'more']",1,5,0.0,0.0,neutral
default,family,tell me more about it.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['family'],"['tell', 'me', 'more', 'about', 'it']",1,5,0.0,0.0,neutral
default,relationship,oh okay. why don't you tell me more about it?,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['relationship'],"['oh', 'okay', 'why', 'dont', 'you', 'tell', 'me', 'more', 'about', 'it']",1,10,0.2263,0.2263,positive
thanks,than you very much,happy to help!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!,"['than', 'you', 'very', 'much']","['happy', 'to', 'help']",4,3,0.7712,0.7712,positive
about,what is your name?,you can call me pandora.,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['what', 'is', 'your', 'name']","['you', 'can', 'call', 'me', 'pandora']",4,5,0.0,0.0,neutral
about,tell me more about yourself.,"i'm pandora, a therapeutic ai assitant designed to assist you. tell me about yourself.",Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['tell', 'me', 'more', 'about', 'yourself']","['im', 'pandora', 'a', 'therapeutic', 'ai', 'assitant', 'designed', 'to', 'assist', 'you', 'tell', 'me', 'about', 'yourself']",5,14,0.0,0.0,neutral
stressed,i feel stuck,give yourself a break. go easy on yourself.,I am so stressed out I am so stressed I feel stuck I still feel stressed I am so burned out,What do you think is causing this? Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated Give yourself a break. Go easy on yourself. I am sorry to hear that. What is the reason behind this?,"['i', 'feel', 'stuck']","['give', 'yourself', 'a', 'break', 'go', 'easy', 'on', 'yourself']",3,8,0.4404,0.4404,positive
location,where do you live?,everywhere,Where are you? Where do you live? What is your location?,Duh I live in your computer Everywhere Somewhere in the universe,"['where', 'do', 'you', 'live']",['everywhere'],4,1,0.0,0.0,neutral
thanks,thanks for the help,happy to help!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!,"['thanks', 'for', 'the', 'help']","['happy', 'to', 'help']",4,3,0.7712,0.7712,positive
happy,i feel happy.,did something happen which made you feel this way?,I feel great today. I am happy. I feel happy. I'm good. cheerful I'm fine I feel ok,That's geat to hear. I'm glad you're feeling this way. Oh i see. That's great. Did something happen which made you feel this way?,"['i', 'feel', 'happy']","['did', 'something', 'happen', 'which', 'made', 'you', 'feel', 'this', 'way']",3,9,0.0,0.0,neutral
thanks,that's helpful,my pleasure,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!,"['thats', 'helpful']","['my', 'pleasure']",2,2,0.5719,0.5719,positive
user-meditation,i feel better now,"your welcome. remember: always focus on what's within your control. when you find yourself worrying, take a minute to examine the things you have control over. you can't prevent a storm from coming but you can prepare for it. you can't control how someone else behaves, but you can control how you react. recognize that sometimes, all you can control is your effort and your attitude. when you put your energy into the things you can control, you'll be much more effective.",i did what you said and i feel alot better. thank you very much. I feel better now,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.","['i', 'feel', 'better', 'now']","['your', 'welcome', 'remember', 'always', 'focus', 'on', 'whats', 'within', 'your', 'control', 'when', 'you', 'find', 'yourself', 'worrying', 'take', 'a', 'minute', 'to', 'examine', 'the', 'things', 'you', 'have', 'control', 'over', 'you', 'cant', 'prevent', 'a', 'storm', 'from', 'coming', 'but', 'you', 'can', 'prepare', 'for', 'it', 'you', 'cant', 'control', 'how', 'someone', 'else', 'behaves', 'but', 'you', 'can', 'control', 'how', 'you', 'react', 'recognize', 'that', 'sometimes', 'all', 'you', 'can', 'control', 'is', 'your', 'effort', 'and', 'your', 'attitude', 'when', 'you', 'put', 'your', 'energy', 'into', 'the', 'things', 'you', 'can', 'control', 'youll', 'be', 'much', 'more', 'effective']",4,82,0.8177,0.8177,positive
goodbye,ok bye,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,"['ok', 'bye']","['ill', 'see', 'you', 'soon']",2,4,0.0,0.0,neutral
sleep,i am suffering from insomnia,that seem awful. what do you think is behind this?,I have insominia I am suffering from insomnia I can't sleep. I haven't slept for the last days. I can't seem to go to sleep. I haven't had proper sleep for the past few days.,What do you think is the reason behind this? That seem awful. What do you think is behind this?,"['i', 'am', 'suffering', 'from', 'insomnia']","['that', 'seem', 'awful', 'what', 'do', 'you', 'think', 'is', 'behind', 'this']",5,10,-0.4588,-0.4588,negative
thanks,thanks for the help,any time!,Thanks Thank you That's helpful Thanks for the help Than you very much,Happy to help! Any time! My pleasure You're most welcome!,"['thanks', 'for', 'the', 'help']","['any', 'time']",4,2,0.0,0.0,neutral
default,girlfriend,i see. what else?,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['girlfriend'],"['i', 'see', 'what', 'else']",1,4,0.0,0.0,neutral
death,someone in my family died,i'm sorry to hear that. if you want to talk about it. i'm here.,My mom died My brother died My dad passed away My sister passed away Someone in my family died My friend passed away,"I'm sorry to hear that. If you want to talk about it. I'm here. I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time. My condolences. I'm here if you need to talk.","['someone', 'in', 'my', 'family', 'died']","['im', 'sorry', 'to', 'hear', 'that', 'if', 'you', 'want', 'to', 'talk', 'about', 'it', 'im', 'here']",5,14,0.0,0.0,neutral
sad,i feel sad,why do you think you feel this way?,I am feeling lonely I am so lonely I feel down I feel sad I am sad I feel so lonely I feel empty I don't have anyone,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way? I'm here for you. Could you tell me why you're feeling this way? Why do you think you feel this way? How long have you been feeling this way?","['i', 'feel', 'sad']","['why', 'do', 'you', 'think', 'you', 'feel', 'this', 'way']",3,8,0.0,0.0,neutral
casual,k,tell me more,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['k'],"['tell', 'me', 'more']",1,3,0.0,0.0,neutral
default,boyfriend,oh okay. why don't you tell me more about it?,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['boyfriend'],"['oh', 'okay', 'why', 'dont', 'you', 'tell', 'me', 'more', 'about', 'it']",1,10,0.2263,0.2263,positive
something-else,i want to talk about something else,alright no problem. is there something you want to talk about?,I want to talk about something else Let's talk about something else. Can we not talk about this? I don't want to talk about this.,Okay sure. What do you want to talk about? Alright no problem. Is there something you want to talk about? Is there something else that you want to talk about?,"['i', 'want', 'to', 'talk', 'about', 'something', 'else']","['alright', 'no', 'problem', 'is', 'there', 'something', 'you', 'want', 'to', 'talk', 'about']",7,11,-0.3818,-0.3818,negative
happy,i feel great today.,oh i see. that's great.,I feel great today. I am happy. I feel happy. I'm good. cheerful I'm fine I feel ok,That's geat to hear. I'm glad you're feeling this way. Oh i see. That's great. Did something happen which made you feel this way?,"['i', 'feel', 'great', 'today']","['oh', 'i', 'see', 'thats', 'great']",4,5,0.6249,0.6249,positive
about,what is your name?,"i'm pandora, your personal therapeutic ai assistant. how are you feeling today",Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['what', 'is', 'your', 'name']","['im', 'pandora', 'your', 'personal', 'therapeutic', 'ai', 'assistant', 'how', 'are', 'you', 'feeling', 'today']",4,12,0.128,0.128,positive
greeting,guten tag,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,"['guten', 'tag']","['hello', 'there', 'tell', 'me', 'how', 'are', 'you', 'feeling', 'today']",2,9,0.128,0.128,positive
about,who you are?,"i'm pandora, a therapeutic ai assitant designed to assist you. tell me about yourself.",Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['who', 'you', 'are']","['im', 'pandora', 'a', 'therapeutic', 'ai', 'assitant', 'designed', 'to', 'assist', 'you', 'tell', 'me', 'about', 'yourself']",3,14,0.0,0.0,neutral
mental-health-fact,tell me another fact about mental health,1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.,Tell me a fact about mental health Tell me another fact about mental health,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed 1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime. Depression is the leading cause of disability worldwide.","['tell', 'me', 'another', 'fact', 'about', 'mental', 'health']","['in', 'young', 'people', 'age', 'has', 'or', 'will', 'develop', 'a', 'mental', 'illness', 'in', 'their', 'lifetime']",7,14,-0.4019,-0.4019,negative
done,that's all.,okay i see. enjoy the rest of your day then,"That's all. I don't have anything more to say Nothing else That's all i have to say no, that would be all",I heard you & noted it all. See you later. Oh okay we're done for today then. See you later I hope you have a great day. See you soon Okay we're done. Have a great day Okay I see. Enjoy the rest of your day then,"['thats', 'all']","['okay', 'i', 'see', 'enjoy', 'the', 'rest', 'of', 'your', 'day', 'then']",2,10,0.6249,0.6249,positive
fact-26,is there any cure for mental health problems?,"it is often more realistic and helpful to find out what helps with the issues you face. talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",Are there cures for mental health problems? is there any cure for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.","['is', 'there', 'any', 'cure', 'for', 'mental', 'health', 'problems']","['it', 'is', 'often', 'more', 'realistic', 'and', 'helpful', 'to', 'find', 'out', 'what', 'helps', 'with', 'the', 'issues', 'you', 'face', 'talking', 'counselling', 'medication', 'friendships', 'exercise', 'good', 'sleep', 'and', 'nutrition', 'and', 'meaningful', 'occupation', 'can', 'all', 'help']",8,32,0.9345,0.9345,positive
greeting,hi,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,['hi'],"['hello', 'there', 'tell', 'me', 'how', 'are', 'you', 'feeling', 'today']",1,9,0.128,0.128,positive
default,relationship,i'm listening. tell me more.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['relationship'],"['im', 'listening', 'tell', 'me', 'more']",1,5,0.0,0.0,neutral
about,what are you?,call me pandora,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['what', 'are', 'you']","['call', 'me', 'pandora']",3,3,0.0,0.0,neutral
sad,i feel sad,"i'm sorry to hear that. i'm here for you. talking about it might help. so, tell me why do you think you're feeling this way?",I am feeling lonely I am so lonely I feel down I feel sad I am sad I feel so lonely I feel empty I don't have anyone,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way? I'm here for you. Could you tell me why you're feeling this way? Why do you think you feel this way? How long have you been feeling this way?","['i', 'feel', 'sad']","['im', 'sorry', 'to', 'hear', 'that', 'im', 'here', 'for', 'you', 'talking', 'about', 'it', 'might', 'help', 'so', 'tell', 'me', 'why', 'do', 'you', 'think', 'youre', 'feeling', 'this', 'way']",3,25,0.4404,0.4404,positive
about,who are you?,i'm pandora!,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['who', 'are', 'you']","['im', 'pandora']",3,2,0.0,0.0,neutral
sad,i feel down,i'm here for you. could you tell me why you're feeling this way?,I am feeling lonely I am so lonely I feel down I feel sad I am sad I feel so lonely I feel empty I don't have anyone,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way? I'm here for you. Could you tell me why you're feeling this way? Why do you think you feel this way? How long have you been feeling this way?","['i', 'feel', 'down']","['im', 'here', 'for', 'you', 'could', 'you', 'tell', 'me', 'why', 'youre', 'feeling', 'this', 'way']",3,13,0.128,0.128,positive
default,relationship,i see. what else?,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['relationship'],"['i', 'see', 'what', 'else']",1,4,0.0,0.0,neutral
stressed,i am so stressed out,what do you think is causing this?,I am so stressed out I am so stressed I feel stuck I still feel stressed I am so burned out,What do you think is causing this? Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated Give yourself a break. Go easy on yourself. I am sorry to hear that. What is the reason behind this?,"['i', 'am', 'so', 'stressed', 'out']","['what', 'do', 'you', 'think', 'is', 'causing', 'this']",5,7,0.0,0.0,neutral
mental-health-fact,tell me a fact about mental health,1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.,Tell me a fact about mental health Tell me another fact about mental health,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed 1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime. Depression is the leading cause of disability worldwide.","['tell', 'me', 'a', 'fact', 'about', 'mental', 'health']","['in', 'young', 'people', 'age', 'has', 'or', 'will', 'develop', 'a', 'mental', 'illness', 'in', 'their', 'lifetime']",7,14,-0.4019,-0.4019,negative
about,tell me more about yourself.,i'm pandora!,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['tell', 'me', 'more', 'about', 'yourself']","['im', 'pandora']",5,2,0.0,0.0,neutral
goodbye,sayonara,bye! come back again.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,['sayonara'],"['bye', 'come', 'back', 'again']",1,4,0.0,0.0,neutral
learn-mental-health,i want to learn more about mental health.,oh that's really great. i'd be willing to answer anything that i know about it.,I want to learn about mental health. I want to learn more about mental health. I'm interested in learning about mental health.,Oh that's really great. I'd be willing to answer anything that I know about it.,"['i', 'want', 'to', 'learn', 'more', 'about', 'mental', 'health']","['oh', 'thats', 'really', 'great', 'id', 'be', 'willing', 'to', 'answer', 'anything', 'that', 'i', 'know', 'about', 'it']",8,15,0.659,0.659,positive
problem,probably because my exams are approaching. i feel stressed out because i don't think i've prepared well enough.,i see. have you taken any approaches to not feel this way?,Probably because my exams are approaching. I feel stressed out because I don't think I've prepared well enough. probably because of my exams,I see. Have you taken any approaches to not feel this way?,"['probably', 'because', 'my', 'exams', 'are', 'approaching', 'i', 'feel', 'stressed', 'out', 'because', 'i', 'dont', 'think', 'ive', 'prepared', 'well', 'enough']","['i', 'see', 'have', 'you', 'taken', 'any', 'approaches', 'to', 'not', 'feel', 'this', 'way']",18,12,0.0,0.0,neutral
default,family,i see. what else?,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['family'],"['i', 'see', 'what', 'else']",1,4,0.0,0.0,neutral
greeting,ola,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,['ola'],"['hello', 'there', 'tell', 'me', 'how', 'are', 'you', 'feeling', 'today']",1,9,0.128,0.128,positive
repeat,you mentioned that already,oh sorry i didn't realise that. i'll try not to repeat myself again.,You already told me that You mentioned that already Why are you repeating yourself?,Oh sorry I didn't realise that. I'll try not to repeat myself again.,"['you', 'mentioned', 'that', 'already']","['oh', 'sorry', 'i', 'didnt', 'realise', 'that', 'ill', 'try', 'not', 'to', 'repeat', 'myself', 'again']",4,13,-0.0772,-0.0772,negative
scared,that sounds awful. what do i do?,it's only natural to feel this way. i'm here for you.,I'm scared That sounds awful. What do i do? No i don't want to feel this way I am scared for myself,It's only natural to feel this way. I'm here for you. It'll all be okay. This feeling is only momentary. I understand how you feel. Don't put yourself down because of it.,"['that', 'sounds', 'awful', 'what', 'do', 'i', 'do']","['its', 'only', 'natural', 'to', 'feel', 'this', 'way', 'im', 'here', 'for', 'you']",7,11,0.3612,0.3612,positive
greeting,is anyone there?,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,"['is', 'anyone', 'there']","['hi', 'there', 'how', 'are', 'you', 'feeling', 'today']",3,7,0.128,0.128,positive
something-else,let's talk about something else.,alright no problem. is there something you want to talk about?,I want to talk about something else Let's talk about something else. Can we not talk about this? I don't want to talk about this.,Okay sure. What do you want to talk about? Alright no problem. Is there something you want to talk about? Is there something else that you want to talk about?,"['lets', 'talk', 'about', 'something', 'else']","['alright', 'no', 'problem', 'is', 'there', 'something', 'you', 'want', 'to', 'talk', 'about']",5,11,-0.3818,-0.3818,negative
casual,nice,i'm listening. please go on.,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['nice'],"['im', 'listening', 'please', 'go', 'on']",1,5,0.3182,0.3182,positive
greeting,bonjour,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,['bonjour'],"['hello', 'there', 'tell', 'me', 'how', 'are', 'you', 'feeling', 'today']",1,9,0.128,0.128,positive
worthless,nothing makes sense anymore,i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.,I feel so worthless. No one likes me. I can't do anything. I am so useless Nothing makes sense anymore,It's only natural to feel this way. Tell me more. What else is on your mind? Let's discuss further why you're feeling this way. I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change. i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.,"['nothing', 'makes', 'sense', 'anymore']","['i', 'first', 'want', 'to', 'let', 'you', 'know', 'that', 'you', 'are', 'not', 'alone', 'in', 'your', 'feelings', 'and', 'there', 'is', 'always', 'someone', 'there', 'to', 'help', 'you', 'can', 'always', 'change', 'your', 'feelings', 'and', 'change', 'your', 'way', 'of', 'thinking', 'by', 'being', 'open', 'to', 'trying', 'to', 'change']",4,42,0.5775,0.5775,positive
casual,oh i see.,can you elaborate on that?,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,"['oh', 'i', 'see']","['can', 'you', 'elaborate', 'on', 'that']",3,5,0.0,0.0,neutral
casual,not really,let's discuss further why you're feeling this way.,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,"['not', 'really']","['lets', 'discuss', 'further', 'why', 'youre', 'feeling', 'this', 'way']",2,8,0.128,0.128,positive
help,support me please,tell me your problem so that i can assist you,Could you help me? give me a hand please Can you help? What can you do for me? I need support I need help Support me please,"Sure. Tell me how can i assist you Tell me your problem so that i can assist you Yes, sure. How can I help you?","['support', 'me', 'please']","['tell', 'me', 'your', 'problem', 'so', 'that', 'i', 'can', 'assist', 'you']",3,10,-0.4019,-0.4019,negative
goodbye,see you later,i'll see you soon.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,"['see', 'you', 'later']","['ill', 'see', 'you', 'soon']",3,4,0.0,0.0,neutral
fact-23,what are the different types of mental health professionals?,there are many types of mental health professionals. finding the right one for you may require some research.,What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,"['what', 'are', 'the', 'different', 'types', 'of', 'mental', 'health', 'professionals']","['there', 'are', 'many', 'types', 'of', 'mental', 'health', 'professionals', 'finding', 'the', 'right', 'one', 'for', 'you', 'may', 'require', 'some', 'research']",9,18,0.0,0.0,neutral
